Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
details of previous owner/client not to appear on patient history,CE-275,Idea,Analysis,Major,Kaci Penfold,Kaci Penfold,17/09/2021 12:40,07/12/2022 14:25,Previous client’s details appear on patient history when transferred on any history before the transfer date; but the customer would like for the current owner/client's details to appear on all history.,,Micheal Aderinto,,625a831556e5a8006ddb7b2f,,,,,Improved workflow,,,St James Veterinary Group Limited (Walter Rd),,,,,,,,,,,,,,,,,,Causes a delay with insurers as the previous clients details appear instead of the currents therefore causing a discrepancy.  Also a massive data protection issue as the current clients information is not visible on the history document,,31/10/2022 11:36
Add the ability to add payment method columns to Daily Cash screen,CE-273,Idea,Analysis,Major,Jake Thompson,Jake Thompson,14/09/2021 20:34,25/04/2024 12:52,"Finance > Daily Cash
Practice would lik the ability to add and alter columns on this page to show other payment methods (e.g Apple Pay) for a more accurate breakdown of daily finances",,Jake Thompson,,610a4caa627b5600681ae343,,,,,,,,"Broadland House Veterinary Surgery, Broad Lane Vets, Stringer Equine Veterinary Practice",,,,,Finance/Accounts,,,,,,,,,,,,,"""Everything gets lumped into other and it can not easily be split out.  Even if it just said in notes what it was it would help.  Also at present there is a column for direct debits, we do not have facilities for this.""",,31/10/2022 11:34
Add a function allowing the user to select a reminder type when processing a treatment,CE-272,Idea,Closed,Major,Jake Thompson,Jake Thompson,14/09/2021 16:06,31/10/2022 11:31,"""To have an option on vaccine reminders that allows the person booking the treatment to select a reminder option rather than the system just picking up a predetermined reminder.""",,Jake Thompson,,610a4caa627b5600681ae343,,,,,,,,Little Rock Equine Vets,,,,,,,,,,,,,,,,,,"""Some clients prefer an annual vaccine rather than a 6 monthly one. Our reminders are set to 6 months so that no one is missed out. However, for our clients that prefer an annual vaccine, they will still receive a text and email reminder at month 5 rather than month 11, therefore, can be a nuisance for clients and we are worried from a business point of view that they will start to ignore the reminders as they are sent out weekly and then eventually either block the text and end up out of date by the time the 12-month vaccine is due as they have ignored the reminders for so long.""",,31/10/2022 11:31
Enable text to be added in number fields in client details,CE-271,Idea,Closed,Major,Olivia Lowe,Olivia Lowe,09/09/2021 09:08,31/10/2022 11:29,"Request from Senlac Vets who are migrating from Robovet.  They would like to add text into mobile number field e.g. '07777777777 Mrs' 
'07777777777 Mr'

Currently on Merlin, if you require different numbers for 2 owners with the same pet, you have to type into client notes.",,Olivia Lowe,,5f84288c9dbd0900699f2f5d,,,,,Improved user experience,,,Senlac Vets,,,,,,,,,,,,,,,,,,Practices cannot differentiate between mobile numbers if the client want more than 1 contact number on there.  They have to click into the notes section which is more time consuming and more clicking. ,,31/10/2022 11:29
Patient Colour table allowing invalid characters,CE-270,Idea,Closed,Major,Adrian Gray,Adrian Gray,09/09/2021 08:47,31/10/2022 11:28,"In the database, the Colour table currently allows invalid characters to be included within the Name and Description fields.

This causes an issue when customers try to print a report including these details as a .csv file will not allow the inclusion of invalid characters, so the exported reports appear incomplete.",,,,,,,,,Improved Reporting,,,Clent Hills Vets,,,,,Client/Patient Management,,,,,,,,,,,,,"This causes an issue when customers try to print a report including these details as a .csv file will not allow the inclusion of invalid characters, so the exported reports appear incomplete.",,31/10/2022 11:28
Email > No way to check whether emails sent or not > Request to be able to generate a list of successful emails sent through Merlin,CE-269,Idea,Idea Pipeline,Major,Andrew Frye,Andrew Frye,08/09/2021 10:48,16/01/2023 09:00,"There is currently no way to find out which emails have been successfully sent to clients in Merlin, except checking the Communication Tab on each individual client one by one. There is also a defect around the Communication Tab (MERLIN-24430) which means even this cannot be used effectively.

When emailing Debtor Statements/Invoices or Chase Up Letters, it is important for Veterinary practices to consistently and successfully send these to clients to make sure payments are made on time. There is currently no way for the practice to run a report/check to make sure all/which emails were sent successfully.

We have also checked with the Cloud Team to see if we can check the Mail Server but this is just a relay and cannot be checked for successful emails sent.

Cheviot Vets have raised this through Business Development Manager Andy Nicol (Ticket: 277836).",,Andrew Frye,,5eed2c1402b4400ac4dc0b09,,,,,Improved Reporting,,,Cheviot Vets Ltd. / Hope Vets / Robertson and Orr / Apex Vets,,,,,Reporting,,,,,,,,,,,,,"Cheviot Vets have found this to be very damaging and worrying as they have not been able to confirm that their Debtor emails have been successfully sent.
They have had several clients reporting that they have not recieved Debtor Statements/Invoices and the practice have no way to check this. This will cost the practice revenue if clients are not receiving debtor emails and not paying their account balances.",,08/09/2021 10:48
Add a standard report to Merlin showing totals of products sold at all sites as one figure for each item,CE-268,Idea,Idea Pipeline,Major,Jake Thompson,Jake Thompson,06/09/2021 16:17,08/12/2022 05:39,"Utilities > Reports > Report Category: Stock > Stock Report: Stock Out - Sales
This report will show all products sold within the specified time period. However, data is split to represent all items at all sites, and does not provide totals for all sites.

David at St James would like to see a report available that compiles totals of all sites into one value",,Eduardo Soroa Pina,Jake Thompson,5e9ebb27fd4e200c185ea007,610a4caa627b5600681ae343,,,,Improved Reporting,,,St James Veterinary Group Limited,,,,,Reporting,,,,,,,,,,,,,"""Makes accessing total figures for the practice clunky, as the information for all branches has be exported as a csv and tidied up on excel - lose a lot of time""",,06/09/2021 16:17
 Letter content to be viewable on communication tab for Merlin ,CE-267,Idea,Closed,Major,Pratima Gurung,Pratima Gurung,03/09/2021 10:51,12/12/2022 11:28,"To have the same functionality available when emails are sent from Merlin on the Communication tab for letters that are generated too
",,Eduardo Soroa Pina,Pratima Gurung,5e9ebb27fd4e200c185ea007,5eed354270fb110aba57b4fa,62e0eb6c3780798663d07fcf,,,Additional functionality,,,Blue Cross Animal Hospital (Burford),,,,,,,,,,,,,,,,,,The user is unable to see quickly view from the reception screen the contents of a letter that was generated and sent out as when double clicking on a letter in the communication tab doesn't show the contents like it does for emails.,,12/12/2022 11:28
Single Animal - Selected Transaction Statement,CE-266,Idea,Closed,Major,Karen Lawrence,Karen Lawrence,02/09/2021 16:48,24/10/2022 11:47,"VP Armac have requested the option to print a detailed statement, for selected transactions, for one animal only.  This should show the invoice number, patient name and details of charges.  They said this was an option in Voyager but unable to replicate it in Merlin",,Eduardo Soroa Pina,Karen Lawrence,5e9ebb27fd4e200c185ea007,5eff0ae87295050bad7c5432,62e0eb6c3780798663d07fcf,,,Improved Reporting,,,VP Armac Vets Ltd,,,,,Finance/Accounts,,,,,,,,,,,,,They are unable to produce the financial statement requested by their customers,,24/10/2022 11:47
appointment report,CE-265,Idea,Closed,Major,Kaci Penfold,Kaci Penfold,27/08/2021 10:04,24/10/2022 11:37,"The generation of a report that would show whether there had been no billable items for any appointment

",,,,,,,,,,,,Ystwyth Veterinary Practice,,,,,,,,,,,,,,,,,,No easy way to tell whether there had been missed charges without going through each and every consult,,24/10/2022 11:37
Edit clinical note draft permission,CE-264,Idea,Idea Pipeline,Major,Ellie Lightowler,Ellie Lightowler,26/08/2021 10:34,08/12/2022 05:27,"Client would like a permission named 'Treatment - Edit clinical note *draft*' as the permission named 'Edit clinical notes' affects both saved clinical notes and draft clinical notes. 

There are separate permissions for editing treatment history and treatment drafts and the user would like this to be possible for clinical history.
 !image-2021-08-26-10-29-33-252.png|thumbnail! ",,Ellie Lightowler,Yaraslava Tkachova,5eff0aeac796b50bb20420c4,62e0eb6c3780798663d07fcf,,,,Improved workflow,,,Apex Vets,,,,,Clinical,,,,,,,,,,,,,The practice are having to allow staff permission to edit saved clinical notes so they are able to edit draft clinical notes. They have trialed removing the permission but it then means they have to delete a full draft clinical note if they want to make any changes to it before they save it to history.,,26/08/2021 10:34
Auto swap within wholesale,CE-263,Idea,Closed,Major,Ellie Lightowler,Ellie Lightowler,23/08/2021 12:46,24/10/2022 11:30,"Arvonia would like to be able to set up an 'auto swap' tied to an item within wholesale. 
For example, if they have different brands of antibiotics, they want to set one brand as an 'auto swap' so if someone accidentally orders a different brand, it will swap it for the brand they have set it to swap to. 
The 'green feature' to show what you already have in stock is not sufficient.
Henry Schein had this feature available.",,Ellie Lightowler,Yaraslava Tkachova,5eff0aeac796b50bb20420c4,62e0eb6c3780798663d07fcf,,,,Additional functionality,,,Arvonia Vets,,,,,,,,,,,,,,,,,,,,24/10/2022 11:29
Continuous claims improvement ,CE-262,Idea,Idea Pipeline,Major,Barend Seegers,Barend Seegers,19/08/2021 16:48,07/12/2022 14:25,"When an insurance claim has been submitted, we are able to print out a copy of what is being claimed for as well as the price. However, if we then add to this claim (claim continuation) and we submit this again, you are provided with the total of the whole claim and not just the continuation meaning the vets need to go and deduct some of the figures taking up valuable time.",,Barend Seegers,,5eed3549b364ce0abe776564,,,,,,,,IVC,,,,,,,,,,,,,,,,,,"This is taking up a lot of the vets time having to manually deduct fees from the continuation claim.
",,19/08/2021 16:48
Stock Movement Tab - Clear doesnt work,CE-488,Idea,Closed,Major,Barend Seegers,Barend Seegers,19/08/2021 15:57,24/10/2022 11:40,"Test

Make sure has available stock
Sell out some items
From stock control>stock movement, search the item in the description
Item shows and shows the movement.
Click clear. Filters clear

Expected outcome
Filters all clear

Outcome
Filters clear",,Barend Seegers,Craig Herrington,5eed3549b364ce0abe776564,5ecfbfd00e595d0c34457af8,,,,,,,,,,,,,,"UX improvement to speed up screen usage, when the filter clear button is pressed, also run the filter to reset the grid.",,,,,,,,,,,,,24/10/2022 11:40
Automatically include website URL on labels printed from Merlin,CE-261,Idea,Closed,Major,Jake Thompson,Jake Thompson,17/08/2021 13:41,24/10/2022 11:27,"Gemma at Mark Nelson Vets would like to see an option in Merlin to include website URLs on labels printed from Merlin, along with the existing practice info such as name, address and phone number.

Currently, the only way to do this would be to manually enter the URL in the dispensing notes for each label",,Eduardo Soroa Pina,Jake Thompson,5e9ebb27fd4e200c185ea007,610a4caa627b5600681ae343,62e0eb6c3780798663d07fcf,,,,,,VP - M Nelson Ltd t-a Mark Nelson Vets (Thornton-M),,,,,,,,,,,,,,,,,,"""We must include a drugs leaflet with every medication dispensed. This means duplicating multiple sheets at a time. VMD and RCVS have stated that if we provide a link to the noah compendium then we DO NOT have to print multiple leaflets and provide this with every medication dispensed which is a huge amount.""
",,24/10/2022 11:27
Being able to pull mobile numbers to smartflow,CE-260,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,12/08/2021 09:53,08/12/2022 08:20,User wanting to have the option to pull through the mobile numbers from Merlin to Smartflow,,Eduardo Soroa Pina,Oscar Waldorf,5e9ebb27fd4e200c185ea007,5eed3546e145af0ab4a603b1,62e0eb6c3780798663d07fcf,,,,,,Assisi Veterinary Group (Lexden),,,,,,,,,,,,,,,,,,Currently only pulling through home numbers ,,12/08/2021 09:53
Fairview Farm Vets -Customer would like an option to add Clinical Notes text to Invoices and Statements.,CE-259,Idea,Idea Pipeline,Major,Andrew Frye,Andrew Frye,12/08/2021 08:58,14/04/2023 18:45,"We would like the ability for Clinical Notes text to be included in Invoices and Statements. 

There is currently no way to get this text to show in Statements/Invoices even though a systemParameter seems to exist which looks like it should allow this (TREATMENT_PRINT_CLINICAL_NOTES_ON_INVOICES).

Although this customer (Fairview Farm Vets) are adamant that this functionality has existed in Merlin previously, we have been unable to find any evidence of this and Product Development have advised that this must be raised as a CE JIRA for consideration.",,Andrew Frye,,5eed2c1402b4400ac4dc0b09,,,,,Improved user experience,,,"Fairview Farm Vets, Blackmore Vale Vets",,,,,Reporting,,,,,,,,,,,,,"Without these Clinical Notes showing, clients are constantly contacting the practice to dispute whether the treatments listed were actually dispensed for their animals. Clients are typically Farms who have many Livestock and Clinical Notes are used to identify details on which animals have had treatments.",,12/08/2021 08:58
